Origin;  Country of asylum  ;  Start  ;  Repartation  ;  End  ;;;;;;;
Senegal;Gambia;7546;0;7359;;;;;;;
Senegal;Guinea-Bissau;7492;0;7480;;;;;;;
Serbia (and Kosovo: UNSCR 1244);France;9437;0;9985;;;;;;;
Serbia (and Kosovo: UNSCR 1244);Germany;123700;0;122340;;;;;;;
Serbia (and Kosovo: UNSCR 1244);Montenegro;16197;201;10948;;;;;;;
Serbia (and Kosovo: UNSCR 1244);Sweden;8852;0;6848;;;;;;;
Serbia (and Kosovo: UNSCR 1244);Switzerland;6491;0;5288;;;;;;;
Serbia (and Kosovo: UNSCR 1244);United Kingdom;8009;0;6759;;;;;;;
Somalia;Djibouti;11198;0;14216;;;;;;;
Somalia;Egypt;6096;12;6172;;;;;;;
Somalia;Ethiopia;58980;0;81247;;;;;;;
Somalia;Italy;7747;0;7865;;;;;;;
Somalia;Kenya;310280;6;351773;;;;;;;
Somalia;Netherlands;11068;0;13736;;;;;;;
Somalia;Norway;7064;0;7342;;;;;;;
Somalia;South Africa;9718;0;15186;;;;;;;
Somalia;Sweden;10636;0;15238;;;;;;;
Somalia;Uganda;8172;0;11151;;;;;;;
Somalia;United Kingdom;32299;0;23893;;;;;;;
Somalia;Yemen;161468;16;179845;;;;;;;
Sri Lanka;Canada;19143;0;16967;;;;;;;
Sri Lanka;France;20464;0;21833;;;;;;;
Sri Lanka;Germany;12248;0;12057;;;;;;;
Sri Lanka;India;72883;5043;69998;;;;;;;
Sri Lanka;United Kingdom;8615;0;6822;;;;;;;
Stateless;Germany;5097;0;5103;;;;;;;
Sudan;Chad;262194;4000;278257;;;;;;;
Sudan;Egypt;9818;251;10035;;;;;;;
Sudan;Ethiopia;23516;47;25238;;;;;;;
Sudan;Israel;5502;0;8137;;;;;;;
Sudan;Kenya;20315;64;20528;;;;;;;
Sudan;Uganda;20836;2674;19382;;;;;;;
Syrian Arab Rep.;Germany;10217;0;10518;;;;;;;
The former Yugoslav Republic of Macedonia;Germany;6081;0;6035;;;;;;;
Tibetan;Nepal;20000;0;15000;;;;;;;
Togo;Benin;5921;20;5912;;;;;;;
Turkey;France;10895;0;11009;;;;;;;
Turkey;Germany;101068;0;97908;;;;;;;
Turkey;Iraq;10125;236;15606;;;;;;;
Turkey;United Kingdom;7666;0;6172;;;;;;;
Ukraine;Germany;18412;0;19398;;;;;;;
Venezuela (Boliv. Rep. of);United States;5170.8;0;5675.2;;;;;;;
Viet Nam3;China;300897;0;300897;;;;;;;
Viet Nam;France;8771;0;8719;;;;;;;
Viet Nam;Germany;25215;0;24918;;;;;;;
Western Sahara4;Algeria;90000;0;90000;;;;;;;
Western Sahara;Mauritania;26000;0;26000;;;;;;;
Zimbabwe;United Kingdom;14119;0;14819;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
