Somalia;2.099;;;;;;;;;
South Africa18;57.899;;;;;;;;;
South Sudan19;105.023;;;;;;;;;
Spain;4.228;;;;;;;;;
Sri Lanka;188;;;;;;;;;
Sudan20;139.415;;;;;;;;;
Suriname;-;;;;;;;;;
Swaziland;759;;;;;;;;;
Sweden;86.615;;;;;;;;;
Switzerland;50.416;;;;;;;;;
Syrian Arab Rep.21;755.445;;;;;;;;;
Tajikistan;3.323;;;;;;;;;
The former Yugoslav Republic of Macedonia;1.130;;;;;;;;;
Thailand;89.253;;;;;;;;;
Timor-Leste;-;;;;;;;;;
Togo;19.270;;;;;;;;;
Tonga;2;;;;;;;;;
Trinidad and Tobago;22;;;;;;;;;
Tunisia;4.097;;;;;;;;;
Turkey;14.465;;;;;;;;;
Turkmenistan;59;;;;;;;;;
Uganda;139.448;;;;;;;;;
Ukraine;3.176;;;;;;;;;
United Arab Emirates;677;;;;;;;;;
United Kingdom;193.510;;;;;;;;;
United Rep. of Tanzania;131.243;;;;;;;;;
United States22;264.763;;;;;;;;;
Uruguay;174;;;;;;;;;
Uzbekistan;214;;;;;;;;;
Vanuatu;-;;;;;;;;;
Venezuela (Bolivarian Rep. of);202.022;;;;;;;;;
Viet Nam;990;;;;;;;;;
Yemen;214.740;;;;;;;;;
Zambia;45.632;;;;;;;;;
Zimbabwe;4.561;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
