Origin;  Country of asylum  ;  Start  ;  Repartation  ;  End  ;;;;;;;;;;;;;;;;;
Sudan;Kenya;3.907;-;3.381;;;;;;;;;;;;;;;;;
Sudan;Netherlands;1.160;-;1.062;;;;;;;;;;;;;;;;;
Sudan;Norway;1.133;-;1.254;;;;;;;;;;;;;;;;;
Sudan;South Sudan;208.130;-;225.727;;;;;;;;;;;;;;;;;
Sudan;Uganda;1.068;-;1.802;;;;;;;;;;;;;;;;;
Sudan;United Kingdom;3.802;-;4.088;;;;;;;;;;;;;;;;;
Sudan;United States;1.364;-;1.347;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Armenia;11.090;-;14.994;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Austria;2.748;-;2.748;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Belgium9;1.987;-;2.620;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Brazil;333;-;1.739;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Bulgaria;2.104;-;8.501;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Cyprus;316;-;1.451;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Denmark;3.271;-;7.253;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Egypt;131.659;-;138.381;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;France;1.474;-;2.882;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Germany;21.253;-;40.994;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Greece;195;-;3.913;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Iraq;212.809;-;234.196;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Italy;840;-;1.144;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Jordan;585.304;-;623.112;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Lebanon;851.284;-;1.147.494;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Libya;16.796;-;18.653;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Malta;776;-;1.047;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Netherlands;3.404;-;8.692;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Norway;1.311;-;2.568;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Romania;932;-;1.278;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Russian Federation;1.163;-;1.927;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Spain;180;-;1.336;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Sweden;17.984;-;34.285;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Switzerland;2.012;-;5.161;;;;;;;;;;;;;;;;;
Syrian Arab Rep.10;Turkey;585.601;-;1.557.899;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;United Kingdom;3.169;-;4.572;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;United States;3.802;-;4.750;;;;;;;;;;;;;;;;;
Syrian Arab Rep.;Yemen;54;-;2.276;;;;;;;;;;;;;;;;;
Tibetan;Nepal;15.000;-;15.000;;;;;;;;;;;;;;;;;
Togo;Germany;1.404;-;1.293;;;;;;;;;;;;;;;;;
Togo;Ghana;3.416;27;2.926;;;;;;;;;;;;;;;;;
Togo;Italy;1.515;-;1.535;;;;;;;;;;;;;;;;;
Togo;United States;1.648;-;1.206;;;;;;;;;;;;;;;;;
Turkey;Austria;1.276;-;1.276;;;;;;;;;;;;;;;;;
Turkey;Canada;3.464;-;2.863;;;;;;;;;;;;;;;;;
Turkey;France;10.867;-;10.699;;;;;;;;;;;;;;;;;
Turkey;Germany;24.449;-;22.242;;;;;;;;;;;;;;;;;
Turkey;Iraq;15.496;-;16.637;;;;;;;;;;;;;;;;;
Turkey;Italy;1.988;-;2.281;;;;;;;;;;;;;;;;;
Turkey;Switzerland;3.638;-;3.618;;;;;;;;;;;;;;;;;
Turkey;United Kingdom;2.348;-;1.396;;;;;;;;;;;;;;;;;
Uganda;Dem. Rep. of the Congo;2.686;-;1.213;;;;;;;;;;;;;;;;;
Uganda;United States;1.185;-;1.178;;;;;;;;;;;;;;;;;
Ukraine;Canada;1.605;-;1.468;;;;;;;;;;;;;;;;;
Ukraine;Russian Federation;5;-;231.787;;;;;;;;;;;;;;;;;
Ukraine;United States;1.379;-;1.424;;;;;;;;;;;;;;;;;
United States;Canada;4.451;-;4.687;;;;;;;;;;;;;;;;;
Uzbekistan;Sweden;1.504;-;1.481;;;;;;;;;;;;;;;;;
Uzbekistan;United States;1.596;-;1.497;;;;;;;;;;;;;;;;;
Venezuela (Bolivarian Republic of);United States;7.156;-;6.693;;;;;;;;;;;;;;;;;
Viet Nam11;China;300.896;-;300.896;;;;;;;;;;;;;;;;;
Viet Nam;France;8.528;-;8.281;;;;;;;;;;;;;;;;;
Viet Nam;Germany;1.495;-;1.449;;;;;;;;;;;;;;;;;
Viet Nam;Switzerland;1.255;-;1.203;;;;;;;;;;;;;;;;;
Western Sahara12;Algeria;90.000;-;90.000;;;;;;;;;;;;;;;;;
Western Sahara;Mauritania;26.001;-;26.001;;;;;;;;;;;;;;;;;
Zimbabwe;Australia;991;-;1.020;;;;;;;;;;;;;;;;;
Zimbabwe;Canada;3.969;-;2.767;;;;;;;;;;;;;;;;;
Zimbabwe;South Africa;-;-;6.217;;;;;;;;;;;;;;;;;
Zimbabwe;United Kingdom;10.302;-;9.467;;;;;;;;;;;;;;;;;
Zimbabwe;United States;1.711;-;1.492;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
